Training with hyperparameters: alpha=0.8, lambda=0.0001
Training data: data/acic/acic_1-10_train_setting_13.npz
Test data:     data/acic/acic_1-10_test_setting_13.npz
Loaded data with shape [3601,55]
Defining graph...

Training on experiment 1/10...
0	Obj: 34.863,	F: 6.521,	Cf: 6.994,	Imb: 0.016,	Val: 6.296,	ValImb: 0.017,	ValObj: 32.91
100	Obj: 25.931,	F: 5.725,	Cf: 5.875,	Imb: 0.011,	Val: 5.343,	ValImb: 0.01,	ValObj: 22.74
200	Obj: 18.123,	F: 4.919,	Cf: 4.718,	Imb: 0.071,	Val: 4.633,	ValImb: 0.074,	ValObj: 16.31
300	Obj: 16.578,	F: 4.746,	Cf: 4.464,	Imb: 0.061,	Val: 4.457,	ValImb: 0.067,	ValObj: 14.85
400	Obj: 16.252,	F: 4.709,	Cf: 4.478,	Imb: 0.049,	Val: 4.434,	ValImb: 0.054,	ValObj: 14.63
500	Obj: 15.348,	F: 4.602,	Cf: 4.298,	Imb: 0.053,	Val: 4.306,	ValImb: 0.056,	ValObj: 13.62
600	Obj: 15.233,	F: 4.589,	Cf: 4.284,	Imb: 0.048,	Val: 4.320,	ValImb: 0.052,	ValObj: 13.73
700	Obj: 16.360,	F: 4.719,	Cf: 4.382,	Imb: 0.059,	Val: 4.439,	ValImb: 0.063,	ValObj: 14.70
800	Obj: 14.563,	F: 4.508,	Cf: 4.175,	Imb: 0.045,	Val: 4.237,	ValImb: 0.047,	ValObj: 13.08
900	Obj: 14.803,	F: 4.537,	Cf: 4.168,	Imb: 0.05,	Val: 4.264,	ValImb: 0.049,	ValObj: 13.30
1000	Obj: 14.120,	F: 4.452,	Cf: 4.099,	Imb: 0.06,	Val: 4.170,	ValImb: 0.061,	ValObj: 12.58
1100	Obj: 13.927,	F: 4.428,	Cf: 4.031,	Imb: 0.062,	Val: 4.133,	ValImb: 0.062,	ValObj: 12.31
1200	Obj: 13.768,	F: 4.409,	Cf: 4.040,	Imb: 0.062,	Val: 4.122,	ValImb: 0.063,	ValObj: 12.21
1300	Obj: 13.686,	F: 4.396,	Cf: 4.000,	Imb: 0.069,	Val: 4.110,	ValImb: 0.068,	ValObj: 12.15
1400	Obj: 14.204,	F: 4.458,	Cf: 4.082,	Imb: 0.074,	Val: 4.167,	ValImb: 0.072,	ValObj: 12.60
1500	Obj: 13.454,	F: 4.362,	Cf: 3.962,	Imb: 0.074,	Val: 4.100,	ValImb: 0.072,	ValObj: 12.08
1600	Obj: 13.062,	F: 4.286,	Cf: 3.792,	Imb: 0.077,	Val: 4.058,	ValImb: 0.073,	ValObj: 11.91
1700	Obj: 12.203,	F: 4.145,	Cf: 3.850,	Imb: 0.078,	Val: 3.972,	ValImb: 0.073,	ValObj: 11.36
1800	Obj: 12.443,	F: 4.171,	Cf: 4.015,	Imb: 0.088,	Val: 4.002,	ValImb: 0.08,	ValObj: 11.59
1900	Obj: 11.710,	F: 4.056,	Cf: 3.728,	Imb: 0.09,	Val: 3.919,	ValImb: 0.087,	ValObj: 11.11
2000	Obj: 11.906,	F: 4.083,	Cf: 3.857,	Imb: 0.083,	Val: 4.038,	ValImb: 0.078,	ValObj: 11.80
2100	Obj: 11.375,	F: 3.991,	Cf: 3.894,	Imb: 0.095,	Val: 3.963,	ValImb: 0.091,	ValObj: 11.39
2200	Obj: 12.135,	F: 4.090,	Cf: 4.024,	Imb: 0.11,	Val: 4.083,	ValImb: 0.1,	ValObj: 12.25
2300	Obj: 11.126,	F: 3.951,	Cf: 3.758,	Imb: 0.09,	Val: 4.022,	ValImb: 0.089,	ValObj: 11.65
2400	Obj: 10.061,	F: 3.752,	Cf: 3.546,	Imb: 0.097,	Val: 3.846,	ValImb: 0.092,	ValObj: 10.71
2500	Obj: 9.777,	F: 3.695,	Cf: 3.538,	Imb: 0.091,	Val: 3.862,	ValImb: 0.088,	ValObj: 10.84
2600	Obj: 9.295,	F: 3.604,	Cf: 3.514,	Imb: 0.095,	Val: 3.836,	ValImb: 0.093,	ValObj: 10.66
2700	Obj: 9.457,	F: 3.632,	Cf: 3.694,	Imb: 0.11,	Val: 3.939,	ValImb: 0.1,	ValObj: 11.25
2800	Obj: 8.718,	F: 3.483,	Cf: 3.528,	Imb: 0.097,	Val: 3.899,	ValImb: 0.093,	ValObj: 11.00
2900	Obj: 9.354,	F: 3.615,	Cf: 3.513,	Imb: 0.098,	Val: 3.839,	ValImb: 0.095,	ValObj: 10.67
2999	Obj: 8.857,	F: 3.512,	Cf: 3.616,	Imb: 0.11,	Val: 3.860,	ValImb: 0.1,	ValObj: 10.81
Saving result to results/acic/setting_13/results_20220102_175039-605185/...

Training on experiment 2/10...
0	Obj: 16.453,	F: 4.432,	Cf: 4.408,	Imb: 0.013,	Val: 4.608,	ValImb: 0.012,	ValObj: 19.03
100	Obj: 14.603,	F: 4.151,	Cf: 4.347,	Imb: 0.00016,	Val: 4.336,	ValImb: 0.00021,	ValObj: 17.01
200	Obj: 14.630,	F: 4.154,	Cf: 4.336,	Imb: 0.00017,	Val: 4.348,	ValImb: 0.00022,	ValObj: 17.14
300	Obj: 14.602,	F: 4.150,	Cf: 4.348,	Imb: 5.4e-05,	Val: 4.345,	ValImb: 4.7e-05,	ValObj: 17.10
400	Obj: 14.840,	F: 4.183,	Cf: 4.451,	Imb: 3.9e-05,	Val: 4.366,	ValImb: 5.3e-05,	ValObj: 17.21
500	Obj: 14.694,	F: 4.169,	Cf: 4.410,	Imb: 6.7e-05,	Val: 4.368,	ValImb: 0.0001,	ValObj: 17.21
600	Obj: 14.598,	F: 4.150,	Cf: 4.367,	Imb: 2.6e-05,	Val: 4.338,	ValImb: 2.3e-05,	ValObj: 17.03
700	Obj: 14.591,	F: 4.149,	Cf: 4.349,	Imb: 2.8e-05,	Val: 4.336,	ValImb: 2.3e-05,	ValObj: 17.02
800	Obj: 14.599,	F: 4.150,	Cf: 4.341,	Imb: 2.7e-05,	Val: 4.342,	ValImb: 2.3e-05,	ValObj: 17.08
900	Obj: 14.599,	F: 4.150,	Cf: 4.362,	Imb: 2.6e-05,	Val: 4.345,	ValImb: 2.9e-05,	ValObj: 17.09
1000	Obj: 14.586,	F: 4.148,	Cf: 4.356,	Imb: 4e-05,	Val: 4.338,	ValImb: 4.6e-05,	ValObj: 17.04
1100	Obj: 14.612,	F: 4.153,	Cf: 4.332,	Imb: 4.3e-05,	Val: 4.341,	ValImb: 4.5e-05,	ValObj: 17.07
1200	Obj: 14.588,	F: 4.149,	Cf: 4.347,	Imb: 2.2e-05,	Val: 4.338,	ValImb: 2.2e-05,	ValObj: 17.04
1300	Obj: 14.586,	F: 4.148,	Cf: 4.356,	Imb: 2.5e-05,	Val: 4.338,	ValImb: 3.4e-05,	ValObj: 17.03
1400	Obj: 14.597,	F: 4.150,	Cf: 4.359,	Imb: 2.2e-05,	Val: 4.345,	ValImb: 2.9e-05,	ValObj: 17.09
1500	Obj: 14.599,	F: 4.150,	Cf: 4.340,	Imb: 2.2e-05,	Val: 4.342,	ValImb: 3e-05,	ValObj: 17.08
1600	Obj: 14.590,	F: 4.149,	Cf: 4.344,	Imb: 3.6e-05,	Val: 4.338,	ValImb: 4.2e-05,	ValObj: 17.04
1700	Obj: 14.612,	F: 4.151,	Cf: 4.371,	Imb: 2.5e-05,	Val: 4.337,	ValImb: 3.3e-05,	ValObj: 17.02
1800	Obj: 14.590,	F: 4.149,	Cf: 4.361,	Imb: 1.5e-05,	Val: 4.338,	ValImb: 2.1e-05,	ValObj: 17.03
1900	Obj: 14.592,	F: 4.149,	Cf: 4.342,	Imb: 2.5e-05,	Val: 4.339,	ValImb: 3e-05,	ValObj: 17.05
2000	Obj: 14.596,	F: 4.150,	Cf: 4.348,	Imb: 2.7e-05,	Val: 4.336,	ValImb: 2.6e-05,	ValObj: 17.02
2100	Obj: 14.588,	F: 4.149,	Cf: 4.352,	Imb: 1.6e-05,	Val: 4.341,	ValImb: 2.1e-05,	ValObj: 17.06
2200	Obj: 14.604,	F: 4.151,	Cf: 4.343,	Imb: 2.1e-05,	Val: 4.336,	ValImb: 2.5e-05,	ValObj: 17.02
2300	Obj: 14.606,	F: 4.152,	Cf: 4.335,	Imb: 3.4e-05,	Val: 4.340,	ValImb: 3.2e-05,	ValObj: 17.06
2400	Obj: 14.587,	F: 4.148,	Cf: 4.357,	Imb: 7.2e-05,	Val: 4.338,	ValImb: 6.9e-05,	ValObj: 17.03
