Training with hyperparameters: alpha=0.4, lambda=0.0001
Training data: data/acic/acic_1-10_train_setting_7.npz
Test data:     data/acic/acic_1-10_test_setting_7.npz
Loaded data with shape [3601,55]
Defining graph...

Training on experiment 1/10...
0	Obj: 39.600,	F: 6.116,	Cf: 5.157,	Imb: 0.016,	Val: 5.286,	ValImb: 0.015,	ValObj: 23.55
100	Obj: 34.540,	F: 5.725,	Cf: 4.823,	Imb: 0.0011,	Val: 5.044,	ValImb: 0.00067,	ValObj: 20.18
200	Obj: 34.535,	F: 5.721,	Cf: 4.834,	Imb: 0.001,	Val: 4.996,	ValImb: 0.00066,	ValObj: 19.95
300	Obj: 34.475,	F: 5.716,	Cf: 4.809,	Imb: 0.0015,	Val: 5.003,	ValImb: 0.0011,	ValObj: 19.94
400	Obj: 34.520,	F: 5.721,	Cf: 4.793,	Imb: 0.00066,	Val: 4.989,	ValImb: 0.00052,	ValObj: 19.85
500	Obj: 34.373,	F: 5.710,	Cf: 4.805,	Imb: 0.017,	Val: 5.003,	ValImb: 0.017,	ValObj: 19.92
600	Obj: 34.577,	F: 5.723,	Cf: 4.855,	Imb: 0.0003,	Val: 5.004,	ValImb: 0.00027,	ValObj: 20.05
700	Obj: 34.690,	F: 5.731,	Cf: 4.902,	Imb: 0.0031,	Val: 5.053,	ValImb: 0.003,	ValObj: 20.43
800	Obj: 34.459,	F: 5.715,	Cf: 4.811,	Imb: 0.0025,	Val: 5.009,	ValImb: 0.0025,	ValObj: 19.98
900	Obj: 34.536,	F: 5.720,	Cf: 4.789,	Imb: 2.4e-05,	Val: 4.994,	ValImb: 5e-05,	ValObj: 19.88
1000	Obj: 34.498,	F: 5.717,	Cf: 4.798,	Imb: 3.8e-05,	Val: 5.001,	ValImb: 6e-05,	ValObj: 19.92
1100	Obj: 34.623,	F: 5.725,	Cf: 4.871,	Imb: 9.4e-05,	Val: 5.011,	ValImb: 0.00012,	ValObj: 20.13
1200	Obj: 34.523,	F: 5.721,	Cf: 4.808,	Imb: 0.00016,	Val: 5.027,	ValImb: 0.00017,	ValObj: 20.08
1300	Obj: 34.482,	F: 5.716,	Cf: 4.809,	Imb: 0.00043,	Val: 5.008,	ValImb: 0.00046,	ValObj: 19.97
1400	Obj: 34.506,	F: 5.720,	Cf: 4.795,	Imb: 0.0028,	Val: 4.988,	ValImb: 0.0029,	ValObj: 19.85
1500	Obj: 34.639,	F: 5.727,	Cf: 4.884,	Imb: 0.0017,	Val: 5.042,	ValImb: 0.0017,	ValObj: 20.32
1600	Obj: 34.466,	F: 5.715,	Cf: 4.805,	Imb: 0.0029,	Val: 5.005,	ValImb: 0.0029,	ValObj: 19.95
1700	Obj: 34.210,	F: 5.694,	Cf: 4.774,	Imb: 0.017,	Val: 4.986,	ValImb: 0.017,	ValObj: 19.76
1800	Obj: 30.593,	F: 5.287,	Cf: 4.308,	Imb: 0.068,	Val: 4.588,	ValImb: 0.07,	ValObj: 16.81
1900	Obj: 27.022,	F: 5.040,	Cf: 4.055,	Imb: 0.029,	Val: 4.381,	ValImb: 0.032,	ValObj: 14.78
2000	Obj: 22.525,	F: 4.445,	Cf: 3.700,	Imb: 0.045,	Val: 3.804,	ValImb: 0.043,	ValObj: 11.51
2100	Obj: 23.714,	F: 4.757,	Cf: 4.016,	Imb: 0.039,	Val: 4.257,	ValImb: 0.044,	ValObj: 13.68
2200	Obj: 28.219,	F: 5.287,	Cf: 4.944,	Imb: 0.034,	Val: 4.828,	ValImb: 0.034,	ValObj: 19.25
2300	Obj: 28.347,	F: 5.075,	Cf: 4.155,	Imb: 0.014,	Val: 4.393,	ValImb: 0.013,	ValObj: 15.50
2400	Obj: 23.453,	F: 5.273,	Cf: 4.668,	Imb: 0.03,	Val: 5.337,	ValImb: 0.03,	ValObj: 20.21
2500	Obj: 15.779,	F: 4.025,	Cf: 3.726,	Imb: 0.024,	Val: 3.985,	ValImb: 0.023,	ValObj: 12.13
2600	Obj: 11.939,	F: 3.527,	Cf: 3.686,	Imb: 0.026,	Val: 3.604,	ValImb: 0.024,	ValObj: 10.65
2700	Obj: 10.016,	F: 3.336,	Cf: 3.530,	Imb: 0.023,	Val: 3.542,	ValImb: 0.021,	ValObj: 10.04
2800	Obj: 29.734,	F: 5.298,	Cf: 4.358,	Imb: 0.011,	Val: 4.617,	ValImb: 0.0099,	ValObj: 17.27
2900	Obj: 10.289,	F: 3.352,	Cf: 3.462,	Imb: 0.022,	Val: 3.531,	ValImb: 0.02,	ValObj: 9.81
2999	Obj: 9.059,	F: 3.205,	Cf: 3.433,	Imb: 0.021,	Val: 3.470,	ValImb: 0.019,	ValObj: 9.54
Saving result to results/acic/setting_7/results_20220102_164712-086534/...

Training on experiment 2/10...
0	Obj: 45.955,	F: 6.463,	Cf: 7.293,	Imb: 0.012,	Val: 6.530,	ValImb: 0.012,	ValObj: 46.56
100	Obj: 21.074,	F: 4.698,	Cf: 4.542,	Imb: 0.0029,	Val: 4.765,	ValImb: 0.0031,	ValObj: 21.61
200	Obj: 20.984,	F: 4.686,	Cf: 4.528,	Imb: 0.0061,	Val: 4.753,	ValImb: 0.0047,	ValObj: 21.55
300	Obj: 21.724,	F: 4.739,	Cf: 4.597,	Imb: 0.00054,	Val: 4.788,	ValImb: 0.00052,	ValObj: 22.08
400	Obj: 21.052,	F: 4.693,	Cf: 4.534,	Imb: 0.00043,	Val: 4.759,	ValImb: 0.00041,	ValObj: 21.60
500	Obj: 21.220,	F: 4.704,	Cf: 4.552,	Imb: 0.00054,	Val: 4.764,	ValImb: 0.00054,	ValObj: 21.67
600	Obj: 21.106,	F: 4.703,	Cf: 4.506,	Imb: 0.00085,	Val: 4.760,	ValImb: 0.00078,	ValObj: 21.59
700	Obj: 21.085,	F: 4.694,	Cf: 4.521,	Imb: 0.00091,	Val: 4.752,	ValImb: 0.0008,	ValObj: 21.55
800	Obj: 21.124,	F: 4.696,	Cf: 4.544,	Imb: 0.0013,	Val: 4.764,	ValImb: 0.0012,	ValObj: 21.71
900	Obj: 21.019,	F: 4.688,	Cf: 4.526,	Imb: 0.0028,	Val: 4.753,	ValImb: 0.0025,	ValObj: 21.54
1000	Obj: 21.096,	F: 4.690,	Cf: 4.512,	Imb: 0.006,	Val: 4.745,	ValImb: 0.0058,	ValObj: 21.53
1100	Obj: 17.923,	F: 4.160,	Cf: 4.229,	Imb: 0.043,	Val: 4.272,	ValImb: 0.042,	ValObj: 18.84
1200	Obj: 16.331,	F: 3.956,	Cf: 4.173,	Imb: 0.039,	Val: 4.077,	ValImb: 0.034,	ValObj: 17.75
1300	Obj: 17.171,	F: 4.067,	Cf: 4.205,	Imb: 0.029,	Val: 4.219,	ValImb: 0.023,	ValObj: 18.57
1400	Obj: 15.134,	F: 3.749,	Cf: 4.097,	Imb: 0.04,	Val: 3.915,	ValImb: 0.03,	ValObj: 16.79
1500	Obj: 14.629,	F: 3.676,	Cf: 4.080,	Imb: 0.037,	Val: 3.876,	ValImb: 0.029,	ValObj: 16.32
1600	Obj: 14.844,	F: 3.684,	Cf: 4.121,	Imb: 0.037,	Val: 3.869,	ValImb: 0.027,	ValObj: 16.33
1700	Obj: 14.240,	F: 3.602,	Cf: 4.006,	Imb: 0.038,	Val: 3.755,	ValImb: 0.029,	ValObj: 15.55
1800	Obj: 14.012,	F: 3.561,	Cf: 3.987,	Imb: 0.046,	Val: 3.692,	ValImb: 0.036,	ValObj: 15.22
1900	Obj: 14.166,	F: 3.588,	Cf: 4.058,	Imb: 0.052,	Val: 3.733,	ValImb: 0.039,	ValObj: 15.51
2000	Obj: 13.611,	F: 3.518,	Cf: 3.961,	Imb: 0.053,	Val: 3.645,	ValImb: 0.042,	ValObj: 14.77
2100	Obj: 13.376,	F: 3.499,	Cf: 3.889,	Imb: 0.052,	Val: 3.658,	ValImb: 0.044,	ValObj: 14.63
2200	Obj: 13.208,	F: 3.495,	Cf: 3.818,	Imb: 0.058,	Val: 3.645,	ValImb: 0.051,	ValObj: 14.45
2300	Obj: 13.150,	F: 3.520,	Cf: 3.828,	Imb: 0.067,	Val: 3.709,	ValImb: 0.056,	ValObj: 14.70
2400	Obj: 11.528,	F: 3.303,	Cf: 3.739,	Imb: 0.083,	Val: 3.517,	ValImb: 0.071,	ValObj: 13.21
2500	Obj: 11.720,	F: 3.370,	Cf: 3.830,	Imb: 0.093,	Val: 3.579,	ValImb: 0.08,	ValObj: 13.40
2600	Obj: 12.434,	F: 3.400,	Cf: 3.842,	Imb: 0.084,	Val: 3.697,	ValImb: 0.073,	ValObj: 14.88
2700	Obj: 12.898,	F: 3.589,	Cf: 3.752,	Imb: 0.069,	Val: 3.834,	ValImb: 0.06,	ValObj: 14.89
2800	Obj: 11.663,	F: 3.383,	Cf: 3.826,	Imb: 0.095,	Val: 3.674,	ValImb: 0.084,	ValObj: 14.21
2900	Obj: 10.602,	F: 3.222,	Cf: 3.643,	Imb: 0.088,	Val: 3.529,	ValImb: 0.08,	ValObj: 12.96
2999	Obj: 10.361,	F: 3.184,	Cf: 3.718,	Imb: 0.092,	Val: 3.452,	ValImb: 0.083,	ValObj: 12.37
Saving result to results/acic/setting_7/results_20220102_164712-086534/...

Training on experiment 3/10...
0	Obj: 549.856,	F: 23.436,	Cf: 25.588,	Imb: 0.014,	Val: 23.109,	ValImb: 0.014,	ValObj: 530.38
100	Obj: 17.230,	F: 3.838,	Cf: 4.756,	Imb: 0.0004,	Val: 3.320,	ValImb: 0.00039,	ValObj: 13.36
200	Obj: 17.365,	F: 3.867,	Cf: 4.779,	Imb: 0.00038,	Val: 3.332,	ValImb: 0.00039,	ValObj: 13.44
300	Obj: 17.666,	F: 3.872,	Cf: 4.781,	Imb: 0.0005,	Val: 3.375,	ValImb: 0.00047,	ValObj: 14.03
400	Obj: 17.215,	F: 3.837,	Cf: 4.775,	Imb: 0.00055,	Val: 3.304,	ValImb: 0.00055,	ValObj: 13.22
500	Obj: 17.130,	F: 3.840,	Cf: 4.731,	Imb: 0.002,	Val: 3.337,	ValImb: 0.0021,	ValObj: 13.31
600	Obj: 17.649,	F: 3.933,	Cf: 4.872,	Imb: 0.0038,	Val: 3.370,	ValImb: 0.004,	ValObj: 13.41
700	Obj: 15.768,	F: 3.739,	Cf: 4.622,	Imb: 0.018,	Val: 3.260,	ValImb: 0.02,	ValObj: 12.50
800	Obj: 15.011,	F: 3.689,	Cf: 4.515,	Imb: 0.011,	Val: 3.259,	ValImb: 0.012,	ValObj: 12.18
900	Obj: 14.127,	F: 3.594,	Cf: 4.437,	Imb: 0.017,	Val: 3.138,	ValImb: 0.019,	ValObj: 11.27
1000	Obj: 17.987,	F: 3.902,	Cf: 4.972,	Imb: 0.0027,	Val: 3.333,	ValImb: 0.0028,	ValObj: 13.55
1100	Obj: 13.567,	F: 3.553,	Cf: 4.322,	Imb: 0.026,	Val: 3.037,	ValImb: 0.024,	ValObj: 10.36
1200	Obj: 12.791,	F: 3.486,	Cf: 4.193,	Imb: 0.033,	Val: 3.023,	ValImb: 0.028,	ValObj: 10.08
1300	Obj: 13.983,	F: 3.607,	Cf: 4.644,	Imb: 0.043,	Val: 3.316,	ValImb: 0.036,	ValObj: 12.87
1400	Obj: 12.132,	F: 3.437,	Cf: 4.192,	Imb: 0.026,	Val: 3.056,	ValImb: 0.023,	ValObj: 10.31
1500	Obj: 13.458,	F: 3.552,	Cf: 4.271,	Imb: 0.024,	Val: 3.014,	ValImb: 0.021,	ValObj: 10.04
1600	Obj: 12.316,	F: 3.443,	Cf: 4.148,	Imb: 0.023,	Val: 2.961,	ValImb: 0.02,	ValObj: 9.55
1700	Obj: 13.122,	F: 3.516,	Cf: 4.300,	Imb: 0.022,	Val: 3.014,	ValImb: 0.019,	ValObj: 10.11
1800	Obj: 13.119,	F: 3.514,	Cf: 4.445,	Imb: 0.021,	Val: 3.086,	ValImb: 0.017,	ValObj: 10.78
1900	Obj: 11.620,	F: 3.384,	Cf: 4.249,	Imb: 0.021,	Val: 2.983,	ValImb: 0.018,	ValObj: 9.75
2000	Obj: 12.298,	F: 3.444,	Cf: 4.684,	Imb: 0.019,	Val: 3.248,	ValImb: 0.016,	ValObj: 12.54
2100	Obj: 10.591,	F: 3.296,	Cf: 4.503,	Imb: 0.024,	Val: 3.084,	ValImb: 0.02,	ValObj: 10.82
2200	Obj: 16.272,	F: 3.783,	Cf: 4.753,	Imb: 0.0088,	Val: 3.276,	ValImb: 0.0078,	ValObj: 12.49
2300	Obj: 10.314,	F: 3.276,	Cf: 4.277,	Imb: 0.022,	Val: 3.043,	ValImb: 0.018,	ValObj: 10.19
2400	Obj: 10.149,	F: 3.254,	Cf: 4.764,	Imb: 0.03,	Val: 3.329,	ValImb: 0.028,	ValObj: 13.53
2500	Obj: 9.578,	F: 3.202,	Cf: 4.367,	Imb: 0.026,	Val: 2.972,	ValImb: 0.021,	ValObj: 9.58
2600	Obj: 9.947,	F: 3.251,	Cf: 4.547,	Imb: 0.029,	Val: 3.067,	ValImb: 0.024,	ValObj: 10.30
2700	Obj: 9.704,	F: 3.232,	Cf: 4.395,	Imb: 0.025,	Val: 2.946,	ValImb: 0.021,	ValObj: 9.34
2800	Obj: 12.106,	F: 3.421,	Cf: 4.151,	Imb: 0.017,	Val: 2.976,	ValImb: 0.016,	ValObj: 9.73
2900	Obj: 9.740,	F: 3.212,	Cf: 4.752,	Imb: 0.033,	Val: 3.101,	ValImb: 0.028,	ValObj: 10.96
2999	Obj: 9.342,	F: 3.167,	Cf: 4.528,	Imb: 0.033,	Val: 2.950,	ValImb: 0.029,	ValObj: 9.54
Saving result to results/acic/setting_7/results_20220102_164712-086534/...

Training on experiment 4/10...
0	Obj: 37.660,	F: 5.783,	Cf: 7.124,	Imb: 0.013,	Val: 5.990,	ValImb: 0.013,	ValObj: 41.17
100	Obj: 25.551,	F: 5.176,	Cf: 5.472,	Imb: 0.0067,	Val: 5.415,	ValImb: 0.0088,	ValObj: 29.21
200	Obj: 19.765,	F: 4.858,	Cf: 4.746,	Imb: 0.052,	Val: 5.047,	ValImb: 0.061,	ValObj: 22.24
300	Obj: 12.720,	F: 3.975,	Cf: 3.805,	Imb: 0.053,	Val: 4.092,	ValImb: 0.059,	ValObj: 14.22
400	Obj: 6.092,	F: 2.392,	Cf: 3.139,	Imb: 0.081,	Val: 2.580,	ValImb: 0.11,	ValObj: 7.34
500	Obj: 5.409,	F: 2.189,	Cf: 3.122,	Imb: 0.08,	Val: 2.405,	ValImb: 0.12,	ValObj: 6.79
600	Obj: 4.589,	F: 1.959,	Cf: 2.927,	Imb: 0.075,	Val: 2.206,	ValImb: 0.11,	ValObj: 6.13
700	Obj: 4.519,	F: 1.978,	Cf: 2.956,	Imb: 0.079,	Val: 2.205,	ValImb: 0.11,	ValObj: 5.98
800	Obj: 4.526,	F: 2.012,	Cf: 2.933,	Imb: 0.078,	Val: 2.239,	ValImb: 0.11,	ValObj: 5.99
900	Obj: 4.465,	F: 1.912,	Cf: 2.918,	Imb: 0.072,	Val: 2.182,	ValImb: 0.098,	ValObj: 6.08
1000	Obj: 5.089,	F: 2.222,	Cf: 3.025,	Imb: 0.072,	Val: 2.493,	ValImb: 0.098,	ValObj: 6.89
1100	Obj: 4.400,	F: 1.988,	Cf: 2.900,	Imb: 0.086,	Val: 2.254,	ValImb: 0.12,	ValObj: 6.10
1200	Obj: 5.090,	F: 2.083,	Cf: 3.008,	Imb: 0.092,	Val: 2.366,	ValImb: 0.12,	ValObj: 7.12
1300	Obj: 3.703,	F: 1.774,	Cf: 2.856,	Imb: 0.083,	Val: 2.090,	ValImb: 0.11,	ValObj: 5.49
1400	Obj: 4.213,	F: 1.847,	Cf: 2.842,	Imb: 0.089,	Val: 2.173,	ValImb: 0.11,	ValObj: 6.24
1500	Obj: 4.047,	F: 1.938,	Cf: 2.940,	Imb: 0.088,	Val: 2.221,	ValImb: 0.12,	ValObj: 5.94
1600	Obj: 3.592,	F: 1.721,	Cf: 3.004,	Imb: 0.083,	Val: 2.067,	ValImb: 0.11,	ValObj: 5.54
1700	Obj: 3.533,	F: 1.721,	Cf: 2.809,	Imb: 0.082,	Val: 2.094,	ValImb: 0.11,	ValObj: 5.67
1800	Obj: 4.229,	F: 1.954,	Cf: 3.081,	Imb: 0.077,	Val: 2.302,	ValImb: 0.1,	ValObj: 6.30
1900	Obj: 3.163,	F: 1.656,	Cf: 2.867,	Imb: 0.085,	Val: 2.056,	ValImb: 0.11,	ValObj: 5.36
2000	Obj: 3.139,	F: 1.669,	Cf: 2.860,	Imb: 0.084,	Val: 2.064,	ValImb: 0.11,	ValObj: 5.34
2100	Obj: 2.964,	F: 1.599,	Cf: 2.739,	Imb: 0.082,	Val: 2.000,	ValImb: 0.11,	ValObj: 5.06
